"province","country","lat","lon","date","confirmed","deaths","recovered","day_since_first_case_province","day_since_first_case_country"
"1","Afghanistan","Afghanistan",33,65,2020-02-24,1,0,0,1,1
"2","Afghanistan","Afghanistan",33,65,2020-02-25,1,0,0,2,2
"3","Afghanistan","Afghanistan",33,65,2020-02-26,1,0,0,3,3
"4","Afghanistan","Afghanistan",33,65,2020-02-27,1,0,0,4,4
"5","Afghanistan","Afghanistan",33,65,2020-02-28,1,0,0,5,5
"6","Afghanistan","Afghanistan",33,65,2020-02-29,1,0,0,6,6
"7","Afghanistan","Afghanistan",33,65,2020-03-01,1,0,0,7,7
"8","Afghanistan","Afghanistan",33,65,2020-03-02,1,0,0,8,8
"9","Afghanistan","Afghanistan",33,65,2020-03-03,1,0,0,9,9
"10","Afghanistan","Afghanistan",33,65,2020-03-04,1,0,0,10,10
"11","Afghanistan","Afghanistan",33,65,2020-03-05,1,0,0,11,11
"12","Afghanistan","Afghanistan",33,65,2020-03-06,1,0,0,12,12
"13","Afghanistan","Afghanistan",33,65,2020-03-07,1,0,0,13,13
"14","Afghanistan","Afghanistan",33,65,2020-03-08,4,0,0,14,14
"15","Afghanistan","Afghanistan",33,65,2020-03-09,4,0,0,15,15
"16","Afghanistan","Afghanistan",33,65,2020-03-10,5,0,0,16,16
"17","Afghanistan","Afghanistan",33,65,2020-03-11,7,0,0,17,17
"18","Afghanistan","Afghanistan",33,65,2020-03-12,7,0,0,18,18
"19","Afghanistan","Afghanistan",33,65,2020-03-13,7,0,0,19,19
"20","Afghanistan","Afghanistan",33,65,2020-03-14,11,0,0,20,20
"21","Afghanistan","Afghanistan",33,65,2020-03-15,16,0,0,21,21
"22","Afghanistan","Afghanistan",33,65,2020-03-16,21,0,1,22,22
"23","Afghanistan","Afghanistan",33,65,2020-03-17,22,0,1,23,23
"24","Afghanistan","Afghanistan",33,65,2020-03-18,22,0,1,24,24
"25","Afghanistan","Afghanistan",33,65,2020-03-19,22,0,1,25,25
"26","Afghanistan","Afghanistan",33,65,2020-03-20,24,0,1,26,26
"27","Afghanistan","Afghanistan",33,65,2020-03-21,24,0,1,27,27
"28","Afghanistan","Afghanistan",33,65,2020-03-22,40,1,1,28,28
"29","Afghanistan","Afghanistan",33,65,2020-03-23,40,1,1,29,29
"30","Alabama","US",32.3182,-86.9023,2020-03-13,5,0,0,1,52
"31","Alabama","US",32.3182,-86.9023,2020-03-14,6,0,0,2,53
"32","Alabama","US",32.3182,-86.9023,2020-03-15,12,0,0,3,54
"33","Alabama","US",32.3182,-86.9023,2020-03-16,29,0,0,4,55
"34","Alabama","US",32.3182,-86.9023,2020-03-17,39,0,0,5,56
"35","Alabama","US",32.3182,-86.9023,2020-03-18,46,0,0,6,57
"36","Alabama","US",32.3182,-86.9023,2020-03-19,78,0,0,7,58
"37","Alabama","US",32.3182,-86.9023,2020-03-20,83,0,0,8,59
"38","Alabama","US",32.3182,-86.9023,2020-03-21,131,0,0,9,60
"39","Alabama","US",32.3182,-86.9023,2020-03-22,138,0,0,10,61
"40","Alabama","US",32.3182,-86.9023,2020-03-23,138,0,0,11,62
"41","Alameda County, CA","US",37.6017,-121.7195,2020-03-03,1,0,0,1,42
"42","Alameda County, CA","US",37.6017,-121.7195,2020-03-04,1,0,0,2,43
"43","Alameda County, CA","US",37.6017,-121.7195,2020-03-05,1,0,0,3,44
"44","Alameda County, CA","US",37.6017,-121.7195,2020-03-06,1,0,0,4,45
"45","Alameda County, CA","US",37.6017,-121.7195,2020-03-07,2,0,0,5,46
"46","Alameda County, CA","US",37.6017,-121.7195,2020-03-08,2,0,0,6,47
"47","Alameda County, CA","US",37.6017,-121.7195,2020-03-09,2,0,0,7,48
"48","Alaska","US",61.3707,-152.4044,2020-03-13,1,0,0,1,52
"49","Alaska","US",61.3707,-152.4044,2020-03-14,1,0,0,2,53
"50","Alaska","US",61.3707,-152.4044,2020-03-15,1,0,0,3,54
"51","Alaska","US",61.3707,-152.4044,2020-03-16,1,0,0,4,55
"52","Alaska","US",61.3707,-152.4044,2020-03-17,3,0,0,5,56
"53","Alaska","US",61.3707,-152.4044,2020-03-18,6,0,0,6,57
"54","Alaska","US",61.3707,-152.4044,2020-03-19,9,0,0,7,58
"55","Alaska","US",61.3707,-152.4044,2020-03-20,12,0,0,8,59
"56","Alaska","US",61.3707,-152.4044,2020-03-21,15,0,0,9,60
"57","Alaska","US",61.3707,-152.4044,2020-03-22,21,0,0,10,61
"58","Alaska","US",61.3707,-152.4044,2020-03-23,21,0,0,11,62
"59","Albania","Albania",41.1533,20.1683,2020-03-09,2,0,0,1,1
"60","Albania","Albania",41.1533,20.1683,2020-03-10,10,0,0,2,2
"61","Albania","Albania",41.1533,20.1683,2020-03-11,12,1,0,3,3
"62","Albania","Albania",41.1533,20.1683,2020-03-12,23,1,0,4,4
"63","Albania","Albania",41.1533,20.1683,2020-03-13,33,1,0,5,5
"64","Albania","Albania",41.1533,20.1683,2020-03-14,38,1,0,6,6
"65","Albania","Albania",41.1533,20.1683,2020-03-15,42,1,0,7,7
"66","Albania","Albania",41.1533,20.1683,2020-03-16,51,1,0,8,8
"67","Albania","Albania",41.1533,20.1683,2020-03-17,55,1,0,9,9
"68","Albania","Albania",41.1533,20.1683,2020-03-18,59,2,0,10,10
"69","Albania","Albania",41.1533,20.1683,2020-03-19,64,2,0,11,11
"70","Albania","Albania",41.1533,20.1683,2020-03-20,70,2,0,12,12
"71","Albania","Albania",41.1533,20.1683,2020-03-21,76,2,2,13,13
"72","Albania","Albania",41.1533,20.1683,2020-03-22,89,2,2,14,14
"73","Albania","Albania",41.1533,20.1683,2020-03-23,89,2,2,15,15
"74","Alberta","Canada",53.9333,-116.5765,2020-03-06,1,0,0,1,41
"75","Alberta","Canada",53.9333,-116.5765,2020-03-07,2,0,0,2,42
"76","Alberta","Canada",53.9333,-116.5765,2020-03-08,4,0,0,3,43
"77","Alberta","Canada",53.9333,-116.5765,2020-03-09,7,0,0,4,44
"78","Alberta","Canada",53.9333,-116.5765,2020-03-10,7,0,0,5,45
"79","Alberta","Canada",53.9333,-116.5765,2020-03-11,19,0,0,6,46
"80","Alberta","Canada",53.9333,-116.5765,2020-03-12,19,0,0,7,47
"81","Alberta","Canada",53.9333,-116.5765,2020-03-13,29,0,0,8,48
"82","Alberta","Canada",53.9333,-116.5765,2020-03-14,29,0,0,9,49
"83","Alberta","Canada",53.9333,-116.5765,2020-03-15,39,0,0,10,50
"84","Alberta","Canada",53.9333,-116.5765,2020-03-16,56,0,0,11,51
"85","Alberta","Canada",53.9333,-116.5765,2020-03-17,74,0,0,12,52
"86","Alberta","Canada",53.9333,-116.5765,2020-03-18,97,0,0,13,53
"87","Alberta","Canada",53.9333,-116.5765,2020-03-19,119,0,0,14,54
"88","Alberta","Canada",53.9333,-116.5765,2020-03-20,146,1,0,15,55
"89","Alberta","Canada",53.9333,-116.5765,2020-03-21,195,1,0,16,56
"90","Alberta","Canada",53.9333,-116.5765,2020-03-22,259,1,0,17,57
"91","Alberta","Canada",53.9333,-116.5765,2020-03-23,259,1,0,18,58
"92","Algeria","Algeria",28.0339,1.6596,2020-02-25,1,0,0,1,1
"93","Algeria","Algeria",28.0339,1.6596,2020-02-26,1,0,0,2,2
"94","Algeria","Algeria",28.0339,1.6596,2020-02-27,1,0,0,3,3
"95","Algeria","Algeria",28.0339,1.6596,2020-02-28,1,0,0,4,4
"96","Algeria","Algeria",28.0339,1.6596,2020-02-29,1,0,0,5,5
"97","Algeria","Algeria",28.0339,1.6596,2020-03-01,1,0,0,6,6
"98","Algeria","Algeria",28.0339,1.6596,2020-03-02,3,0,0,7,7
"99","Algeria","Algeria",28.0339,1.6596,2020-03-03,5,0,0,8,8
"100","Algeria","Algeria",28.0339,1.6596,2020-03-04,12,0,0,9,9
"101","Algeria","Algeria",28.0339,1.6596,2020-03-05,12,0,0,10,10
"102","Algeria","Algeria",28.0339,1.6596,2020-03-06,17,0,0,11,11
"103","Algeria","Algeria",28.0339,1.6596,2020-03-07,17,0,0,12,12
"104","Algeria","Algeria",28.0339,1.6596,2020-03-08,19,0,0,13,13
"105","Algeria","Algeria",28.0339,1.6596,2020-03-09,20,0,0,14,14
"106","Algeria","Algeria",28.0339,1.6596,2020-03-10,20,0,0,15,15
"107","Algeria","Algeria",28.0339,1.6596,2020-03-11,20,0,0,16,16
"108","Algeria","Algeria",28.0339,1.6596,2020-03-12,24,1,8,17,17
"109","Algeria","Algeria",28.0339,1.6596,2020-03-13,26,2,8,18,18
"110","Algeria","Algeria",28.0339,1.6596,2020-03-14,37,3,12,19,19
"111","Algeria","Algeria",28.0339,1.6596,2020-03-15,48,4,12,20,20
"112","Algeria","Algeria",28.0339,1.6596,2020-03-16,54,4,12,21,21
"113","Algeria","Algeria",28.0339,1.6596,2020-03-17,60,4,12,22,22
"114","Algeria","Algeria",28.0339,1.6596,2020-03-18,74,7,12,23,23
"115","Algeria","Algeria",28.0339,1.6596,2020-03-19,87,9,32,24,24
"116","Algeria","Algeria",28.0339,1.6596,2020-03-20,90,11,32,25,25
"117","Algeria","Algeria",28.0339,1.6596,2020-03-21,139,15,32,26,26
"118","Algeria","Algeria",28.0339,1.6596,2020-03-22,201,17,65,27,27
"119","Algeria","Algeria",28.0339,1.6596,2020-03-23,201,17,65,28,28
"120","Andorra","Andorra",42.5063,1.5218,2020-03-02,1,0,0,1,1
"121","Andorra","Andorra",42.5063,1.5218,2020-03-03,1,0,0,2,2
"122","Andorra","Andorra",42.5063,1.5218,2020-03-04,1,0,0,3,3
"123","Andorra","Andorra",42.5063,1.5218,2020-03-05,1,0,0,4,4
"124","Andorra","Andorra",42.5063,1.5218,2020-03-06,1,0,0,5,5
"125","Andorra","Andorra",42.5063,1.5218,2020-03-07,1,0,0,6,6
"126","Andorra","Andorra",42.5063,1.5218,2020-03-08,1,0,0,7,7
"127","Andorra","Andorra",42.5063,1.5218,2020-03-09,1,0,0,8,8
"128","Andorra","Andorra",42.5063,1.5218,2020-03-10,1,0,0,9,9
"129","Andorra","Andorra",42.5063,1.5218,2020-03-11,1,0,0,10,10
"130","Andorra","Andorra",42.5063,1.5218,2020-03-12,1,0,1,11,11
"131","Andorra","Andorra",42.5063,1.5218,2020-03-13,1,0,0,12,12
"132","Andorra","Andorra",42.5063,1.5218,2020-03-14,1,0,1,13,13
"133","Andorra","Andorra",42.5063,1.5218,2020-03-15,1,0,1,14,14
"134","Andorra","Andorra",42.5063,1.5218,2020-03-16,2,0,1,15,15
"135","Andorra","Andorra",42.5063,1.5218,2020-03-17,39,0,1,16,16
"136","Andorra","Andorra",42.5063,1.5218,2020-03-18,39,0,1,17,17
"137","Andorra","Andorra",42.5063,1.5218,2020-03-19,53,0,1,18,18
"138","Andorra","Andorra",42.5063,1.5218,2020-03-20,75,0,1,19,19
"139","Andorra","Andorra",42.5063,1.5218,2020-03-21,88,0,1,20,20
"140","Andorra","Andorra",42.5063,1.5218,2020-03-22,113,1,1,21,21
"141","Andorra","Andorra",42.5063,1.5218,2020-03-23,113,1,1,22,22
"142","Angola","Angola",-11.2027,17.8739,2020-03-20,1,0,0,1,1
"143","Angola","Angola",-11.2027,17.8739,2020-03-21,2,0,0,2,2
"144","Angola","Angola",-11.2027,17.8739,2020-03-22,2,0,0,3,3
"145","Angola","Angola",-11.2027,17.8739,2020-03-23,2,0,0,4,4
"146","Anhui","China",31.8257,117.2264,2020-01-22,1,0,0,1,1
"147","Anhui","China",31.8257,117.2264,2020-01-23,9,0,0,2,2
"148","Anhui","China",31.8257,117.2264,2020-01-24,15,0,0,3,3
"149","Anhui","China",31.8257,117.2264,2020-01-25,39,0,0,4,4
"150","Anhui","China",31.8257,117.2264,2020-01-26,60,0,0,5,5
"151","Anhui","China",31.8257,117.2264,2020-01-27,70,0,0,6,6
"152","Anhui","China",31.8257,117.2264,2020-01-28,106,0,0,7,7
"153","Anhui","China",31.8257,117.2264,2020-01-29,152,0,2,8,8
"154","Anhui","China",31.8257,117.2264,2020-01-30,200,0,2,9,9
"155","Anhui","China",31.8257,117.2264,2020-01-31,237,0,3,10,10
"156","Anhui","China",31.8257,117.2264,2020-02-01,297,0,5,11,11
"157","Anhui","China",31.8257,117.2264,2020-02-02,340,0,7,12,12
"158","Anhui","China",31.8257,117.2264,2020-02-03,408,0,14,13,13
"159","Anhui","China",31.8257,117.2264,2020-02-04,480,0,20,14,14
"160","Anhui","China",31.8257,117.2264,2020-02-05,530,0,23,15,15
"161","Anhui","China",31.8257,117.2264,2020-02-06,591,0,34,16,16
"162","Anhui","China",31.8257,117.2264,2020-02-07,665,0,47,17,17
"163","Anhui","China",31.8257,117.2264,2020-02-08,733,0,59,18,18
"164","Anhui","China",31.8257,117.2264,2020-02-09,779,1,72,19,19
"165","Anhui","China",31.8257,117.2264,2020-02-10,830,3,88,20,20
"166","Anhui","China",31.8257,117.2264,2020-02-11,860,4,105,21,21
"167","Anhui","China",31.8257,117.2264,2020-02-12,889,4,127,22,22
"168","Anhui","China",31.8257,117.2264,2020-02-13,910,5,157,23,23
"169","Anhui","China",31.8257,117.2264,2020-02-14,934,6,193,24,24
"170","Anhui","China",31.8257,117.2264,2020-02-15,950,6,221,25,25
"171","Anhui","China",31.8257,117.2264,2020-02-16,962,6,255,26,26
"172","Anhui","China",31.8257,117.2264,2020-02-17,973,6,280,27,27
"173","Anhui","China",31.8257,117.2264,2020-02-18,982,6,361,28,28
"174","Anhui","China",31.8257,117.2264,2020-02-19,986,6,413,29,29
"175","Anhui","China",31.8257,117.2264,2020-02-20,987,6,474,30,30
"176","Anhui","China",31.8257,117.2264,2020-02-21,988,6,539,31,31
"177","Anhui","China",31.8257,117.2264,2020-02-22,989,6,597,32,32
"178","Anhui","China",31.8257,117.2264,2020-02-23,989,6,637,33,33
"179","Anhui","China",31.8257,117.2264,2020-02-24,989,6,663,34,34
"180","Anhui","China",31.8257,117.2264,2020-02-25,989,6,712,35,35
"181","Anhui","China",31.8257,117.2264,2020-02-26,989,6,744,36,36
"182","Anhui","China",31.8257,117.2264,2020-02-27,989,6,792,37,37
"183","Anhui","China",31.8257,117.2264,2020-02-28,990,6,821,38,38
"184","Anhui","China",31.8257,117.2264,2020-02-29,990,6,868,39,39
"185","Anhui","China",31.8257,117.2264,2020-03-01,990,6,873,40,40
"186","Anhui","China",31.8257,117.2264,2020-03-02,990,6,917,41,41
"187","Anhui","China",31.8257,117.2264,2020-03-03,990,6,936,42,42
"188","Anhui","China",31.8257,117.2264,2020-03-04,990,6,956,43,43
"189","Anhui","China",31.8257,117.2264,2020-03-05,990,6,970,44,44
"190","Anhui","China",31.8257,117.2264,2020-03-06,990,6,979,45,45
"191","Anhui","China",31.8257,117.2264,2020-03-07,990,6,979,46,46
"192","Anhui","China",31.8257,117.2264,2020-03-08,990,6,984,47,47
"193","Anhui","China",31.8257,117.2264,2020-03-09,990,6,984,48,48
"194","Anhui","China",31.8257,117.2264,2020-03-10,990,6,984,49,49
"195","Anhui","China",31.8257,117.2264,2020-03-11,990,6,984,50,50
"196","Anhui","China",31.8257,117.2264,2020-03-12,990,6,984,51,51
"197","Anhui","China",31.8257,117.2264,2020-03-13,990,6,984,52,52
"198","Anhui","China",31.8257,117.2264,2020-03-14,990,6,984,53,53
"199","Anhui","China",31.8257,117.2264,2020-03-15,990,6,984,54,54
"200","Anhui","China",31.8257,117.2264,2020-03-16,990,6,984,55,55
"201","Anhui","China",31.8257,117.2264,2020-03-17,990,6,984,56,56
"202","Anhui","China",31.8257,117.2264,2020-03-18,990,6,984,57,57
"203","Anhui","China",31.8257,117.2264,2020-03-19,990,6,984,58,58
"204","Anhui","China",31.8257,117.2264,2020-03-20,990,6,984,59,59
"205","Anhui","China",31.8257,117.2264,2020-03-21,990,6,984,60,60
"206","Anhui","China",31.8257,117.2264,2020-03-22,990,6,984,61,61
"207","Anhui","China",31.8257,117.2264,2020-03-23,990,6,984,62,62
"208","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-13,1,0,0,1,1
"209","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-14,1,0,0,2,2
"210","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-15,1,0,0,3,3
"211","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-16,1,0,0,4,4
"212","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-17,1,0,0,5,5
"213","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-18,1,0,0,6,6
"214","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-19,1,0,0,7,7
"215","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-20,1,0,0,8,8
"216","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-21,1,0,0,9,9
"217","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-22,1,0,0,10,10
"218","Antigua and Barbuda","Antigua and Barbuda",17.0608,-61.7964,2020-03-23,1,0,0,11,11
"219","Argentina","Argentina",-38.4161,-63.6167,2020-03-03,1,0,0,1,1
"220","Argentina","Argentina",-38.4161,-63.6167,2020-03-04,1,0,0,2,2
"221","Argentina","Argentina",-38.4161,-63.6167,2020-03-05,1,0,0,3,3
"222","Argentina","Argentina",-38.4161,-63.6167,2020-03-06,2,0,0,4,4
"223","Argentina","Argentina",-38.4161,-63.6167,2020-03-07,8,0,0,5,5
"224","Argentina","Argentina",-38.4161,-63.6167,2020-03-08,12,1,0,6,6
"225","Argentina","Argentina",-38.4161,-63.6167,2020-03-09,12,1,0,7,7
"226","Argentina","Argentina",-38.4161,-63.6167,2020-03-10,17,1,0,8,8
"227","Argentina","Argentina",-38.4161,-63.6167,2020-03-11,19,1,0,9,9
"228","Argentina","Argentina",-38.4161,-63.6167,2020-03-12,19,1,0,10,10
"229","Argentina","Argentina",-38.4161,-63.6167,2020-03-13,31,2,0,11,11
"230","Argentina","Argentina",-38.4161,-63.6167,2020-03-14,34,2,1,12,12
"231","Argentina","Argentina",-38.4161,-63.6167,2020-03-15,45,2,1,13,13
"232","Argentina","Argentina",-38.4161,-63.6167,2020-03-16,56,2,1,14,14
"233","Argentina","Argentina",-38.4161,-63.6167,2020-03-17,68,2,3,15,15
"234","Argentina","Argentina",-38.4161,-63.6167,2020-03-18,79,2,3,16,16
"235","Argentina","Argentina",-38.4161,-63.6167,2020-03-19,97,3,3,17,17
"236","Argentina","Argentina",-38.4161,-63.6167,2020-03-20,128,3,3,18,18
"237","Argentina","Argentina",-38.4161,-63.6167,2020-03-21,158,4,3,19,19
"238","Argentina","Argentina",-38.4161,-63.6167,2020-03-22,225,4,3,20,20
"239","Argentina","Argentina",-38.4161,-63.6167,2020-03-23,225,4,3,21,21
"240","Arizona","US",33.7298,-111.4312,2020-03-10,6,0,1,1,49
"241","Arizona","US",33.7298,-111.4312,2020-03-11,9,0,1,2,50
"242","Arizona","US",33.7298,-111.4312,2020-03-12,9,0,1,3,51
"243","Arizona","US",33.7298,-111.4312,2020-03-13,9,0,1,4,52
"244","Arizona","US",33.7298,-111.4312,2020-03-14,12,0,1,5,53
"245","Arizona","US",33.7298,-111.4312,2020-03-15,13,0,1,6,54
"246","Arizona","US",33.7298,-111.4312,2020-03-16,18,0,1,7,55
"247","Arizona","US",33.7298,-111.4312,2020-03-17,20,0,1,8,56
"248","Arizona","US",33.7298,-111.4312,2020-03-18,27,0,0,9,57
"249","Arizona","US",33.7298,-111.4312,2020-03-19,45,0,0,10,58
"250","Arizona","US",33.7298,-111.4312,2020-03-20,78,0,0,11,59
"251","Arizona","US",33.7298,-111.4312,2020-03-21,118,1,0,12,60
"252","Arizona","US",33.7298,-111.4312,2020-03-22,152,2,0,13,61
"253","Arizona","US",33.7298,-111.4312,2020-03-23,152,2,0,14,62
"254","Arkansas","US",34.9697,-92.3731,2020-03-11,1,0,0,1,50
"255","Arkansas","US",34.9697,-92.3731,2020-03-12,6,0,0,2,51
"256","Arkansas","US",34.9697,-92.3731,2020-03-13,6,0,0,3,52
"257","Arkansas","US",34.9697,-92.3731,2020-03-14,12,0,0,4,53
"258","Arkansas","US",34.9697,-92.3731,2020-03-15,16,0,0,5,54
"259","Arkansas","US",34.9697,-92.3731,2020-03-16,22,0,0,6,55
"260","Arkansas","US",34.9697,-92.3731,2020-03-17,22,0,0,7,56
"261","Arkansas","US",34.9697,-92.3731,2020-03-18,33,0,0,8,57
"262","Arkansas","US",34.9697,-92.3731,2020-03-19,62,0,0,9,58
"263","Arkansas","US",34.9697,-92.3731,2020-03-20,96,0,0,10,59
"264","Arkansas","US",34.9697,-92.3731,2020-03-21,122,0,0,11,60
"265","Arkansas","US",34.9697,-92.3731,2020-03-22,165,0,0,12,61
"266","Arkansas","US",34.9697,-92.3731,2020-03-23,165,0,0,13,62
"267","Armenia","Armenia",40.0691,45.0382,2020-03-01,1,0,0,1,1
"268","Armenia","Armenia",40.0691,45.0382,2020-03-02,1,0,0,2,2
"269","Armenia","Armenia",40.0691,45.0382,2020-03-03,1,0,0,3,3
"270","Armenia","Armenia",40.0691,45.0382,2020-03-04,1,0,0,4,4
"271","Armenia","Armenia",40.0691,45.0382,2020-03-05,1,0,0,5,5
"272","Armenia","Armenia",40.0691,45.0382,2020-03-06,1,0,0,6,6
"273","Armenia","Armenia",40.0691,45.0382,2020-03-07,1,0,0,7,7
"274","Armenia","Armenia",40.0691,45.0382,2020-03-08,1,0,0,8,8
"275","Armenia","Armenia",40.0691,45.0382,2020-03-09,1,0,0,9,9
"276","Armenia","Armenia",40.0691,45.0382,2020-03-10,1,0,0,10,10
"277","Armenia","Armenia",40.0691,45.0382,2020-03-11,1,0,0,11,11
"278","Armenia","Armenia",40.0691,45.0382,2020-03-12,4,0,0,12,12
"279","Armenia","Armenia",40.0691,45.0382,2020-03-13,8,0,0,13,13
"280","Armenia","Armenia",40.0691,45.0382,2020-03-14,18,0,0,14,14
"281","Armenia","Armenia",40.0691,45.0382,2020-03-15,26,0,0,15,15
"282","Armenia","Armenia",40.0691,45.0382,2020-03-16,52,0,0,16,16
"283","Armenia","Armenia",40.0691,45.0382,2020-03-17,78,0,1,17,17
"284","Armenia","Armenia",40.0691,45.0382,2020-03-18,84,0,1,18,18
"285","Armenia","Armenia",40.0691,45.0382,2020-03-19,115,0,1,19,19
"286","Armenia","Armenia",40.0691,45.0382,2020-03-20,136,0,1,20,20
"287","Armenia","Armenia",40.0691,45.0382,2020-03-21,160,0,1,21,21
"288","Armenia","Armenia",40.0691,45.0382,2020-03-22,194,0,2,22,22
"289","Armenia","Armenia",40.0691,45.0382,2020-03-23,194,0,2,23,23
"290","Aruba","Netherlands",12.5186,-70.0358,2020-03-13,2,0,0,1,16
"291","Aruba","Netherlands",12.5186,-70.0358,2020-03-14,2,0,0,2,17
"292","Aruba","Netherlands",12.5186,-70.0358,2020-03-15,2,0,0,3,18
"293","Aruba","Netherlands",12.5186,-70.0358,2020-03-16,2,0,0,4,19
"294","Aruba","Netherlands",12.5186,-70.0358,2020-03-17,3,0,0,5,20
"295","Aruba","Netherlands",12.5186,-70.0358,2020-03-18,4,0,0,6,21
"296","Aruba","Netherlands",12.5186,-70.0358,2020-03-19,4,0,0,7,22
"297","Aruba","Netherlands",12.5186,-70.0358,2020-03-20,5,0,0,8,23
"298","Aruba","Netherlands",12.5186,-70.0358,2020-03-21,5,0,0,9,24
"299","Aruba","Netherlands",12.5186,-70.0358,2020-03-22,8,0,0,10,25
"300","Aruba","Netherlands",12.5186,-70.0358,2020-03-23,8,0,0,11,26
"301","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-13,1,0,0,1,48
"302","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-14,1,0,0,2,49
"303","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-15,1,0,0,3,50
"304","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-16,2,0,0,4,51
"305","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-17,2,0,0,5,52
"306","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-18,3,0,0,6,53
"307","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-19,4,0,0,7,54
"308","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-20,6,0,0,8,55
"309","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-21,9,0,0,9,56
"310","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-22,19,0,0,10,57
"311","Australian Capital Territory","Australia",-35.4735,149.0124,2020-03-23,19,0,0,11,58
"312","Austria","Austria",47.5162,14.5501,2020-02-25,2,0,0,1,1
"313","Austria","Austria",47.5162,14.5501,2020-02-26,2,0,0,2,2
"314","Austria","Austria",47.5162,14.5501,2020-02-27,3,0,0,3,3
"315","Austria","Austria",47.5162,14.5501,2020-02-28,3,0,0,4,4
"316","Austria","Austria",47.5162,14.5501,2020-02-29,9,0,0,5,5
"317","Austria","Austria",47.5162,14.5501,2020-03-01,14,0,0,6,6
"318","Austria","Austria",47.5162,14.5501,2020-03-02,18,0,0,7,7
"319","Austria","Austria",47.5162,14.5501,2020-03-03,21,0,0,8,8
"320","Austria","Austria",47.5162,14.5501,2020-03-04,29,0,0,9,9
"321","Austria","Austria",47.5162,14.5501,2020-03-05,41,0,0,10,10
"322","Austria","Austria",47.5162,14.5501,2020-03-06,55,0,0,11,11
"323","Austria","Austria",47.5162,14.5501,2020-03-07,79,0,0,12,12
"324","Austria","Austria",47.5162,14.5501,2020-03-08,104,0,0,13,13
"325","Austria","Austria",47.5162,14.5501,2020-03-09,131,0,2,14,14
"326","Austria","Austria",47.5162,14.5501,2020-03-10,182,0,4,15,15
"327","Austria","Austria",47.5162,14.5501,2020-03-11,246,0,4,16,16
"328","Austria","Austria",47.5162,14.5501,2020-03-12,302,1,4,17,17
"329","Austria","Austria",47.5162,14.5501,2020-03-13,504,1,6,18,18
"330","Austria","Austria",47.5162,14.5501,2020-03-14,655,1,6,19,19
"331","Austria","Austria",47.5162,14.5501,2020-03-15,860,1,6,20,20
"332","Austria","Austria",47.5162,14.5501,2020-03-16,1018,3,6,21,21
"333","Austria","Austria",47.5162,14.5501,2020-03-17,1332,3,1,22,22
"334","Austria","Austria",47.5162,14.5501,2020-03-18,1646,4,9,23,23
"335","Austria","Austria",47.5162,14.5501,2020-03-19,2013,6,9,24,24
"336","Austria","Austria",47.5162,14.5501,2020-03-20,2388,6,9,25,25
"337","Austria","Austria",47.5162,14.5501,2020-03-21,2814,8,9,26,26
"338","Austria","Austria",47.5162,14.5501,2020-03-22,3244,16,9,27,27
"339","Austria","Austria",47.5162,14.5501,2020-03-23,3244,16,9,28,28
"340","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-01,3,0,0,1,1
"341","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-02,3,0,0,2,2
"342","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-03,3,0,0,3,3
"343","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-04,3,0,0,4,4
"344","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-05,6,0,0,5,5
"345","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-06,6,0,0,6,6
"346","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-07,9,0,0,7,7
"347","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-08,9,0,0,8,8
"348","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-09,9,0,0,9,9
"349","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-10,11,0,0,10,10
"350","Azerbaijan","Azerbaijan",40.1431,47.5769,2020-03-11,11,0,3,11,11
